Letterboxd list export v7,,,,
Date,Name,Tags,URL,Description
2023-04-17,A test list for the LetterboxdHueSort program,Sort by colour,The url of the letterboxd list itself,A test list to demonstrate how the program LetterboxdHueSort sorts a film list by poster colour.
,,,,
Position,Name,Year,URL,Description
1,The Secret Life of Walter Mitty,2013,https://boxd.it/3SWy,Music composed by: Theodore Shapiro
2,Oldboy,2003,https://boxd.it/29R2,Music composed by: Jo Yeong-wook
3,I Origins,2014,https://boxd.it/7aRM,Music composed by: Will Bates & Phil Mossman
4,RRR,2022,https://boxd.it/ljDs,Music composed by: M.M. Keeravani
5,Everything Everywhere All at Once,2022,https://boxd.it/jUk4,Music composed by: Son Lux & Surrija & Ymusic
6,Amélie,2001,https://boxd.it/2aUc,Music composed by: Yann Tiersen
7,The Handmaiden,2016,https://boxd.it/948A,Music composed by: Cho Young Wook & The Soundtrackings
8,Interstellar,2014,https://boxd.it/4VZ8,Music composed by: Hans Zimmer
9,The Girl with the Dragon Tattoo,2011,https://boxd.it/2Pa,Music composed by: Trent Reznor and Atticus Ross
10,Nope,2022,https://boxd.it/sDCe,Music composed by: Theodore Shapiro
11,The Social Network,2010,https://boxd.it/17ue,Music composed by: Michael Abels
12,Argo,2012,https://boxd.it/2czU,Music composed by: Alexandre Desplat
13,Arrival,2016,https://boxd.it/aNGk,Music composed by: Jóhann Jóhannsson
14,The Man from U.N.C.L.E.,2015,https://boxd.it/67lG,Music composed by: Daniel Pemberton
15,Scott Pilgrim vs. the World,2010,https://boxd.it/1Aq6,Music composed by: Nigel Godrich & Osymyso
16,The Menu,2022,https://boxd.it/lScm,Music composed by: Colin Stetson
17,The Martian,2015,https://boxd.it/8SeG,Music composed by: Harry Gregson-Williams
18,The Theory of Everything,2014,https://boxd.it/7YtA,Music composed by: Jóhann Jóhannsson
19,Whiplash,2014,https://boxd.it/7bQA,Music composed by: Justin Hurwitz & Tim Simonec
20,Rabbit Hole,2010,https://boxd.it/1rsM,Music composed by: Anton Sanko
21,Her,2013,https://boxd.it/4O24,Music composed by: Owen Pallett & Will Butler
22,The Art of Self-Defense,2019,https://boxd.it/hf5y,Music composed by: Heather McIntosh
23,Parasite,2019,https://boxd.it/hTha,Music composed by: Jung Jae-il
24,Aliens,1986,https://boxd.it/29PA,Music composed by: James Horner
25,Midsommar,2019,https://boxd.it/jhxe,Music composed by: Bobby Krlic
26,Dune,2021,https://boxd.it/fA7G,Music composed by: Hans Zimmer
27,High Life,2018,https://boxd.it/d6bk,Music composed by: Tindersticks & Stuart Staples
28,Kate,2021,https://boxd.it/m2qy,Music composed by: Nathan Barr
29,La La Land,2016,https://boxd.it/a5fa,Music composed by: Justin Hurwitz
30,Aniara,2018,https://boxd.it/hUMe,Music composed by: Alexander Berg
31,Decision to Leave,2022,https://boxd.it/qp9e,Music composed by: Cho Young-wuk
32,The Salesman,2016,https://boxd.it/d2we,Music composed by: Sattar Oraki
33,Get Out,2017,https://boxd.it/eOCm,Music composed by: Michael Abels
34,The Gentlemen,2019,https://boxd.it/iYBQ,Music composed by: Christopher Benstead
35,Uncut Gems,2019,https://boxd.it/gXGc,Music composed by: Daniel Lopatin
